Name,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs,Location
"'CUT 2N FRONT RANGE, ST MARYS RIVER ENTR, FL'",-81.3017,30.7167,NOAA,0.856,16.3,0.135,37.6,0.189,353.7,0.032,41.6,0.103,192.8,0.076,205.4,0.036,190.3,0.017,232.2,Deep
"'Cape Chunak, AK, AK'",-163.5342,55.0643,NOAA,0.708,117.2,0.02,294.3,0.251,67.9,0.005,308.6,0.485,321.9,0.329,305.7,0.16,320.7,0.05,282.3,Deep
"'Dog Island, St. Thomas, VI'",-64.8180789,18.2975431,NOAA,0.045,23.8,0.007,136.3,0.009,22.9,0.009,26,0.077,230.9,0.061,221.7,0.019,233.9,0.012,220.2,Deep
"'Eastport, ME'",-66.982814,44.9045577,NOAA,2.687,98.7,0.42,139.3,0.543,69.4,0.116,138.3,0.156,196.4,0.119,176.9,0.052,195.5,0.02,163,Deep
"'Entrance Island, AK'",-133.787,56.8117,NOAA,1.754,279.7,0.538,313.2,0.335,255.9,0.146,315.9,0.481,265.8,0.299,247.4,0.159,264.4,0.058,239.7,Deep
"'Esperanza, Vieques Island, PR'",-65.4715583,18.0937419,NOAA,0.028,343,0.009,9.2,0.004,307.6,0.003,5.7,0.082,232.8,0.063,226.1,0.025,232.6,0.009,205.5,Deep
"'Fare Ute Point,'",-149.572,-17.535,NOAA,0.071,308.4,0.076,320.6,0.011,274.8,0.023,318.3,0.006,279.4,0.016,89.1,0.002,292,0.004,75.2,Deep
"'Fredericksted, St. Croix, VI'",-64.8909175,17.7137701,NOAA,0.022,43.9,0.015,51.9,0.006,44,0.006,325.5,0.072,237.3,0.06,229,0.018,248,0.011,208.8,Deep
"'Geese Island GPS Tide Buoy, AK'",-153.996,56.5947,NOAA,0.966,302.1,0.347,332.3,0.2,277.2,0.094,334.7,0.358,269.8,0.229,255.5,0.118,268.8,0.063,259.2,Deep
"'Golf Island, AK'",-135.393,56.7867,NOAA,1.077,272.7,0.336,305,0.218,248.3,0.091,307.6,0.428,261.2,0.269,243.2,0.142,259.9,0.058,242.2,Deep
"'Kwajalein, Marshall Islands, United States of America'",167.7337826,8.7307668,NOAA,0.485,127.4,0.269,149.3,0.092,127.1,0.073,145.9,0.104,66,0.065,38.7,0.032,65.4,0.013,22.6,Deep
"'La Jolla, CA'",-117.2571,32.8669,NOAA,0.5,142,0.204,138.6,0.117,121.7,0.058,130.4,0.332,207,0.213,191.8,0.105,203.1,0.039,184.4,Deep
"'Lime Tree Bay. St. Croix, VI'",-64.7457963,17.6914496,NOAA,0.013,327.5,0.007,13.6,0,0,0.002,17.3,0.083,237,0.065,228.6,0.026,237.6,0.009,192.1,Deep
"'Los Angeles, CA'",-118.2729,33.7199,NOAA,0.515,145.5,0.203,141.1,0.121,123.7,0.06,135.5,0.343,207.7,0.218,192.3,0.107,204.6,0.041,184,Deep
"'Lovango Cay, St. John, VI'",-64.8035805,18.3606822,NOAA,0.092,11.3,0.017,70.5,0.019,354.9,0.01,21.4,0.071,224.5,0.057,215.9,0.019,231.6,0.009,196.8,Deep
"'PENIKESE ISLAND, MA'",-70.9217,41.45,NOAA,0.491,2.5,0.109,23,0.123,348,0.028,20.5,0.055,166,0.05,199.7,0.017,185.7,0.012,169.1,Deep
"'PIER 22 1/2, SAN FRANCISCO, CA'",-122.387,37.79,NOAA,0.644,218.9,0.143,227.2,0.133,193.5,0.045,217.3,0.381,229.5,0.231,212.8,0.12,227.1,0.044,215.7,Deep
"'PLUM ISLAND PLUM GUT HARBOR, NY'",-72.205,41.1717,NOAA,0.371,73.6,0.068,84.7,0.087,44.6,0.018,80.1,0.076,180.5,0.051,212.7,0.023,188.7,0.016,202.7,Deep
