Station,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs,Location
"'Cape Chunak, AK, AK'",-163.534200,55.064300,NOAA,0.708000,117.199997,0.020000,294.299988,0.251000,67.900002,0.005000,308.600006,0.485000,321.899994,0.329000,305.700012,0.160000,320.700012,0.050000,282.299988,Deep
"'Entrance Island, AK'",-133.787000,56.811700,NOAA,1.754000,279.700012,0.538000,313.200012,0.335000,255.899994,0.146000,315.899994,0.481000,265.799988,0.299000,247.399994,0.159000,264.399994,0.058000,239.699997,Deep
"'Fare Ute Point,'",-149.572000,-17.535000,NOAA,0.071000,308.399994,0.076000,320.600006,0.011000,274.799988,0.023000,318.299988,0.006000,279.399994,0.016000,89.099998,0.002000,292.000000,0.004000,75.199997,Deep
"'Geese Island GPS Tide Buoy, AK'",-153.996000,56.594700,NOAA,0.966000,302.100006,0.347000,332.299988,0.200000,277.200012,0.094000,334.700012,0.358000,269.799988,0.229000,255.500000,0.118000,268.799988,0.063000,259.200012,Deep
"'Golf Island, AK'",-135.393000,56.786700,NOAA,1.077000,272.700012,0.336000,305.000000,0.218000,248.300003,0.091000,307.600006,0.428000,261.200012,0.269000,243.199997,0.142000,259.899994,0.058000,242.199997,Deep
"'Kwajalein, Marshall Islands, United States of America'",167.733783,8.730767,NOAA,0.485000,127.400002,0.269000,149.300003,0.092000,127.099998,0.073000,145.899994,0.104000,66.000000,0.065000,38.700001,0.032000,65.400002,0.013000,22.600000,Deep
"'La Jolla, CA'",-117.257100,32.866900,NOAA,0.500000,142.000000,0.204000,138.600006,0.117000,121.699997,0.058000,130.399994,0.332000,207.000000,0.213000,191.800003,0.105000,203.100006,0.039000,184.399994,Deep
"'Los Angeles, CA'",-118.272900,33.719900,NOAA,0.515000,145.500000,0.203000,141.100006,0.121000,123.699997,0.060000,135.500000,0.343000,207.699997,0.218000,192.300003,0.107000,204.600006,0.041000,184.000000,Deep
"'PIER 22 1/2, SAN FRANCISCO, CA'",-122.387000,37.790000,NOAA,0.644000,218.899994,0.143000,227.199997,0.133000,193.500000,0.045000,217.300003,0.381000,229.500000,0.231000,212.800003,0.120000,227.100006,0.044000,215.699997,Deep
"'Pago Bay, Guam, United States of America'",144.799529,13.426776,NOAA,0.142000,276.200012,0.026000,282.899994,0.036000,253.399994,0.008000,265.500000,0.141000,61.299999,0.102000,42.599998,0.045000,62.799999,0.019000,33.900002,Deep
"'Perch Point, AK'",-147.395000,60.126700,NOAA,1.332000,286.799988,0.456000,317.399994,0.265000,261.799988,0.124000,319.899994,0.495000,271.600006,0.302000,255.500000,0.164000,270.399994,0.056000,250.600006,Deep
"'REEF POINT, STIKINE STRAIT, AK'",-132.553000,56.353300,NOAA,1.954000,273.200012,0.655000,304.100006,0.370000,250.500000,0.178000,306.600006,0.545000,264.100006,0.312000,246.399994,0.180000,262.799988,0.062000,239.399994,Deep
"'RINCON ISLAND, PACIFIC OCEAN, CA'",-119.443000,34.348300,NOAA,0.502000,154.800003,0.182000,149.100006,0.120000,133.000000,0.053000,141.399994,0.355000,211.699997,0.222000,196.699997,0.112000,207.800003,0.041000,189.399994,Deep
"'STOREY ISLAND NORTH SIDE, AK'",-147.437000,60.731700,NOAA,1.395000,287.899994,0.460000,319.000000,0.297000,262.100006,0.125000,321.500000,0.481000,270.399994,0.308000,256.299988,0.159000,269.399994,0.057000,251.199997,Deep
"'Saginaw Bay, Kuiu Island, AK'",-134.303100,56.903000,NOAA,1.616000,276.299988,0.539000,305.700012,0.294000,254.100006,0.147000,308.000000,0.515000,262.799988,0.288000,246.500000,0.170000,261.500000,0.058000,246.899994,Deep
"'San Francisco, CA'",-122.465900,37.806300,NOAA,0.576000,208.199997,0.137000,216.199997,0.122000,183.199997,0.040000,206.000000,0.370000,225.399994,0.230000,208.399994,0.114000,222.100006,0.040000,202.699997,Deep
"'THE BROTHERS, STEPHENS PASSAGE, AK'",-133.797000,57.295000,NOAA,1.794000,280.000000,0.591000,312.799988,0.367000,257.600006,0.160000,315.500000,0.500000,264.299988,0.300000,248.500000,0.165000,263.100006,0.057000,234.699997,Deep
"'Thoms Point, AK'",-132.078000,56.118300,NOAA,1.979000,272.299988,0.654000,302.700012,0.356000,241.300003,0.178000,305.200012,0.520000,261.700012,0.315000,245.500000,0.172000,260.500000,0.053000,240.399994,Deep
"'Wooded Island, AK'",-147.403000,59.875000,NOAA,1.133000,289.500000,0.385000,319.899994,0.244000,265.299988,0.105000,322.399994,0.474000,272.100006,0.288000,257.799988,0.157000,271.000000,0.057000,250.399994,Deep
"ARICA      WOCE fas",-70.333000,-18.467000,Truth_Coast,0.329000,27.150000,0.094000,48.869999,0.072000,347.950012,0.031000,39.660000,0.151000,32.959999,0.084000,350.630005,0.044000,28.700001,0.014000,321.980011,NS
"DARWIN     WOCE fas",130.848755,-12.472741,Truth_Coast,1.845000,249.199997,0.951000,298.160004,0.350000,228.410004,0.271000,296.420013,0.582000,200.669998,0.329000,189.639999,0.161000,203.789993,0.077000,184.089996,NS
